50	316.6725395	2.13
52.63157895	331.3553515	2.119
55.55555556	348.3677187	2.107
58.82352941	367.3815409	2.094
62.5	389.557489	2.081
66.66666667	414.6902303	2.069
71.42857143	448.7989505	2.056
76.92307692	496.8549612	2.036
83.33333333	550.8259119	2.004
90.90909091	606.6129815	1.966
100	668.5309167	1.957
111.1111111	748.3971833	1.924
125	859.2255908	1.886
142.8571429	1034.032782	1.821
166.6666667	1229.409925	1.703
200	1291.822899	1.587
208.3333333	1277.581012	1.555
217.3913043	1262.100701	1.541
227.2727273	1245.213088	1.53
238.0952381	1223.725138	1.522
250	1209.513172	1.519
263.1578947	1193.805208	1.522
277.7777778	1197.295867	1.527
294.1176471	1215.981157	1.536
312.5	1272.345025	1.546
333.3333333	1373.923187	1.551
344.8275862	1442.966005	1.551
357.1428571	1516.940453	1.549
370.3703704	1601.0487	1.545
384.6153846	1691.626813	1.539
400	1789.451175	1.531
416.6666667	1890.19158	1.521
434.7826087	2005.155659	1.511
454.5454545	2130.571018	1.5
476.1904762	2285.882655	1.487
500	2469.291826	1.48
512.8205128	2603.49422	1.476
526.3157895	2738.146018	1.461
540.5405405	2859.698394	1.443
555.5555556	2974.041045	1.423
571.4285714	3080.555996	1.401
588.2352941	3171.160584	1.376
606.0606061	3259.640378	1.351
625	3314.38025	1.325
645.1612903	3356.437054	1.297
666.6666667	3367.787325	1.27
689.6551724	3362.587447	1.241
714.2857143	3321.112234	1.21
740.7407407	3192.788978	1.177
769.2307692	2948.263875	1.146
800	2603.751991	1.123
833.3333333	2083.923127	1.111
869.5652174	1551.673589	1.126
909.0909091	1105.840614	1.153
952.3809524	792.2797473	1.185
1000	638.3716272	1.218
1020.408163	614.2134208	1.229
1041.666667	594.2846103	1.239
1063.829787	578.855157	1.247
1086.956522	566.8525875	1.255
1111.111111	557.1090972	1.262
1136.363636	549.7787144	1.269
1162.790698	543.5685894	1.275
1190.47619	540.0547371	1.281
1219.512195	537.9019617	1.286
1250	538.7831401	1.291
1265.822785	539.2404605	1.294
1282.051282	539.7095072	1.297
1298.701299	540.1907368	1.299
1315.789474	542.3381002	1.302
1333.333333	546.2182427	1.304
1351.351351	550.2032539	1.307
1369.863014	554.2974435	1.309
1388.888889	560.2506899	1.312
1408.450704	566.3716333	1.314
1428.571429	574.4626567	1.317
1449.275362	586.4306287	1.321
1470.588235	604.2945869	1.324
1492.537313	632.0696861	1.329
1515.151515	677.822415	1.334
1538.461538	757.8488124	1.339
1562.5	881.6094384	1.347
1587.301587	1136.957341	1.357
1612.903226	1783.613894	1.363
1639.344262	2698.679591	1.319
1666.666667	2241.00276	1.265
1694.915254	1324.793648	1.248
1724.137931	714.9831556	1.262
1754.385965	447.539164	1.277
1785.714286	318.6472549	1.289
1818.181818	265.0361802	1.298
1851.851852	239.6918839	1.305
1886.792453	232.3593057	1.312
1923.076923	244.0775831	1.317
1960.784314	273.5033604	1.322
2000	311.6459912	1.325
2040.816327	351.3454641	1.328
2083.333333	392.6990817	1.33
2127.659574	419.7702524	1.33
2173.913043	401.5774957	1.33
2222.222222	374.1985916	1.332
2272.727273	294.1673121	1.334
2325.581395	246.9437946	1.338
2380.952381	205.8491186	1.342
2439.02439	172.2512265	1.346
2500	144.5132621	1.351
2564.102564	122.4415598	1.357
2631.578947	112.4359476	1.364
2702.702703	122.2673898	1.374
2777.777778	179.768913	1.385
2857.142857	337.4968108	1.4
2898.550725	480.800267	1.41
2941.176471	720.7183146	1.42
2985.074627	979.0515613	1.432
3030.30303	1401.340723	1.45
3076.923077	2358.6111	1.467
3125	3628.539515	1.478
3174.603175	5385.587406	1.483
3225.806452	7783.042445	1.467
3278.688525	9888.291631	1.426
3333.333333	11393.50936	1.371
3389.830508	12694.16421	1.292
3448.275862	11613.05974	1.201
3508.77193	8157.117767	1.149
3571.428571	5161.187931	1.142
3636.363636	2696.057695	1.157
3703.703704	884.3001543	1.188
3773.584906	317.7157853	1.219
3846.153846	153.2130571	1.242
4166.666667	50.05604295	1.279
4545.454545	16.5076414	1.296
5000	69.11503838	1.306
5555.555556	8.028514559	1.312
6250	6.715154297	1.317
7142.857143	12.38685103	1.321
8333.333333	1.035678378	1.324
10000	0.363168111	1.327
10256.41026	0.448522767	1.327
10526.31579	0.387573325	1.327
10810.81081	0.144003815	1.328
11111.11111	0.067858401	1.328
11428.57143	0.056153725	1.328
11764.70588	0.043317019	1.329
12121.21212	0.027722175	1.329
12500	0.019634954	1.329
12903.22581	0.023997714	1.33
13333.33333	0.026138051	1.33
13793.10345	0.015859626	1.33
14285.71429	0.006013906	1.331
14814.81481	0.004151557	1.331
15384.61538	0.003170592	1.331
16000	0.002794761	1.332
16666.66667	0.002282891	1.332
17391.30435	0.000786764	1.333
18181.81818	0.00044782	1.333
19047.61905	0.000315954	1.334
20000	0.000251327	1.335
21052.63158	0.000247359	1.336
22222.22222	0.000284838	1.337
23529.41176	0.000384383	1.338
25000	0.000584336	1.339
26666.66667	0.001172861	1.341
28571.42857	0.002333755	1.343
30769.23077	0.004175902	1.346
33333.33333	0.006702064	1.349
36363.63636	0.010738535	1.354
40000	0.016838937	1.362
44444.44444	0.027366763	1.373
50000	0.069115038	1.396
